,precision,recall,f1-score,support,AUC,accuracy,model
0,0.9433551198257081,0.8523622047244095,0.8955532574974147,508.0,0.9697962102758737,0.9050751879699248,_Bayesian_LogReg400
1,0.8760330578512396,0.9532374100719424,0.913006029285099,556.0,0.9697962102758737,0.9050751879699248,_Bayesian_LogReg400
macro avg,0.9096940888384739,0.902799807398176,0.9042796433912568,1064.0,0.9697962102758737,0.9050751879699248,_Bayesian_LogReg400
weighted avg,0.9081755460871701,0.9050751879699248,0.90467331493534,1064.0,0.9697962102758737,0.9050751879699248,_Bayesian_LogReg400
0,0.9449339207048458,0.844488188976378,0.891891891891892,508.0,0.9621523253837875,0.9022556390977443,Spike-and-Slab_Bayesian_MAP800
1,0.8704918032786885,0.9550359712230215,0.9108061749571182,556.0,0.9621523253837875,0.9022556390977443,Spike-and-Slab_Bayesian_MAP800
macro avg,0.9077128619917672,0.8997620800996997,0.9013490334245051,1064.0,0.9621523253837875,0.9022556390977443,Spike-and-Slab_Bayesian_MAP800
weighted avg,0.906033716485914,0.9022556390977443,0.9017756713883824,1064.0,0.9621523253837875,0.9022556390977443,Spike-and-Slab_Bayesian_MAP800
0,0.9482758620689655,0.8661417322834646,0.9053497942386831,508.0,0.9704653599954682,0.9135338345864662,_Bayesian_LogReg800
1,0.8866666666666667,0.9568345323741008,0.9204152249134949,556.0,0.9704653599954682,0.9135338345864662,_Bayesian_LogReg800
macro avg,0.9174712643678161,0.9114881323287827,0.9128825095760891,1064.0,0.9704653599954682,0.9135338345864662,_Bayesian_LogReg800
weighted avg,0.9160815832685161,0.9135338345864662,0.9132223313206336,1064.0,0.9704653599954682,0.9135338345864662,_Bayesian_LogReg800
0,0.9329140461215933,0.8759842519685039,0.9035532994923858,508.0,0.9664646235767291,0.9107142857142857,Spike-and-Slab_Bayesian_MAP1600
1,0.8926746166950597,0.9424460431654677,0.9168853893263342,556.0,0.9664646235767291,0.9107142857142857,Spike-and-Slab_Bayesian_MAP1600
macro avg,0.9127943314083264,0.9092151475669858,0.91021934440936,1064.0,0.9664646235767291,0.9107142857142857,Spike-and-Slab_Bayesian_MAP1600
