matchId,blue_win,blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueChampKills,blueHeraldKills,blueTowersDestroyed,redChampKills,redHeraldKills,redTowersDestroyed
3506929785.0,1,27713.0,387.0,91.0,9.8,24820.0,351.0,88.0,9.4,10.0,3.0,1.0,8.0,0.0,3.0
3508405572.0,1,26133.0,351.0,90.0,9.2,24455.0,355.0,91.0,9.0,8.0,2.0,1.0,5.0,1.0,1.0
3454045225.0,1,29757.0,369.0,82.0,9.8,24271.0,318.0,76.0,9.0,14.0,2.0,0.0,10.0,1.0,2.0
3444131913.0,0,25359.0,332.0,60.0,9.0,24311.0,294.0,70.0,8.8,8.0,1.0,0.0,10.0,1.0,0.0
3495718905.0,0,26709.0,322.0,74.0,8.8,28594.0,351.0,99.0,9.2,13.0,0.0,3.0,11.0,3.0,0.0
3491150452.0,0,20959.0,309.0,72.0,8.6,26973.0,387.0,100.0,9.6,5.0,0.0,1.0,11.0,2.0,0.0
3497896386.0,0,27857.0,348.0,93.0,9.6,26546.0,335.0,100.0,9.4,10.0,1.0,0.0,11.0,1.0,2.0
3511144531.0,0,22651.0,287.0,60.0,8.2,29891.0,344.0,105.0,9.8,7.0,1.0,1.0,18.0,2.0,1.0
3508986812.0,0,22146.0,330.0,54.0,8.6,24157.0,351.0,109.0,9.4,6.0,0.0,0.0,6.0,2.0,0.0
3463017962.0,0,25330.0,318.0,88.0,9.2,23503.0,340.0,67.0,8.8,13.0,2.0,0.0,7.0,1.0,0.0
3497421171.0,0,26770.0,377.0,111.0,9.4,24757.0,375.0,88.0,9.4,6.0,3.0,1.0,5.0,0.0,1.0
3512499689.0,0,26495.0,349.0,101.0,9.6,29920.0,379.0,99.0,9.8,9.0,0.0,2.0,14.0,3.0,1.0
3511057505.0,0,27577.0,315.0,72.0,9.6,26642.0,340.0,98.0,9.2,15.0,3.0,1.0,10.0,0.0,1.0
3376199446.0,0,22567.0,293.0,80.0,8.6,28392.0,337.0,61.0,9.0,5.0,0.0,2.0,16.0,3.0,0.0
3499076480.0,0,25089.0,293.0,84.0,9.0,29516.0,324.0,84.0,9.6,11.0,1.0,2.0,15.0,1.0,0.0
3507113407.0,0,25498.0,375.0,76.0,8.8,27367.0,366.0,72.0,9.0,7.0,1.0,0.0,12.0,2.0,1.0
3434495884.0,0,25910.0,340.0,71.0,9.0,26193.0,335.0,84.0,9.0,10.0,2.0,1.0,10.0,1.0,1.0
3483315334.0,0,26893.0,313.0,58.0,8.8,27615.0,350.0,88.0,9.0,14.0,1.0,1.0,14.0,2.0,1.0
3471682438.0,0,24308.0,360.0,81.0,8.8,26282.0,333.0,84.0,9.2,7.0,1.0,0.0,13.0,1.0,0.0
3503162879.0,0,27423.0,311.0,70.0,8.8,31876.0,332.0,94.0,9.4,10.0,1.0,3.0,16.0,2.0,2.0
3454748096.0,0,25746.0,310.0,84.0,9.2,26295.0,285.0,71.0,9.2,10.0,3.0,0.0,15.0,0.0,1.0
